Name,Duration,Genre,Rating
...Yahaan,132,Drama,7.4
15 Park Avenue,106,Drama,7.1
1971,146,Action,8.1
5ters: Castle of Dark Master,120,Action,4.6
7 Bijliyaan,136,Action,5
7 Khoon Maaf,127,Drama,6.1
A Wednesday,114,Action,8.1
Aa Dekhen Zara,127,Action,5
Aadat Se Majboor,115,Action,5.5
Aadha Din Aadhee Raat,142,Action,5.1
Aadhi Bhagavan,167,Action,5.4
Aadhi Raat,105,Drama,6.7
Aadmi,165,Drama,6.8
Aadmi,163,Action,6.5
Aadmi Ki Aurat Aur Anya Kahaniya,68,Drama,7.6
Aag Aur Chingari,143,Action,4.1
Aag Hi Aag,180,Action,5.3
Aag Ke Sholay,148,Action,3.4
Aag Se Khelenge,161,Action,5
Aah,140,Drama,7.2
Aahuti,145,Action,6
Aaj Ka Andha Kanoon,56,Action,3.1
Aaj Ka Daur,163,Action,5.1
Aaj Ke Shahenshah,142,Action,3.3
Aaj Ki Awaz,147,Action,5.6
Aakhree Raasta,174,Action,7.1
Aakhri Sangam,170,Action,7.3
Aakhri Sanghursh,148,Action,2.8
Aan Aur Shaan,120,Drama,6.4
Aan: Men at Work,159,Action,5.7
Aani Maani,84,Drama,6.6
Aap Ki Khatir,125,Action,6.3
Aap Ki Parchhaiyan,118,Drama,6.3
Aar Paar,135,Action,6.1
Aarop,119,Drama,6.7
Aarzoo,165,Drama,5.4
Aatish: Feel the Fire,165,Action,5.8
Aavishkar,97,Drama,7
Ab Dilli Dur Nahin,123,Drama,7.6
Ab To Aaja Saajan Mere,117,Drama,4
Abe Hayat,150,Action,4.8
Abhimaan,112,Drama,7.9
Abhimanyu,178,Action,4.6
Abhinetri,144,Drama,6.7
Action,168,Action,4.5
Adalat,129,Drama,6.9
Adil-E-Jahangir,140,Drama,5
Adrishya,96,Drama,3.3
Adutha Varisu,112,Drama,5.5
Ae Dil Hai Mushkil,148,Drama,5.8
Aghaat,128,Drama,7.1
Agni Sakshi,132,Drama,6.1
Ahinsa,113,Action,4.1
Ajanabee,129,Drama,6.5
Akashdeep,126,Drama,6.6
Akbar Saleem Anarkali,129,Drama,7.7
Akhri Muqabla,142,Action,5.3
Albert Pinto Ko Gussa Kyun Aata Hai?,90,Drama,5.5
Alex's Strip,99,Drama,5.9
Alif,110,Drama,6.5
Amar Prem,133,Drama,4.4
Amber,151,Action,6.9
Amma Nagamma,100,Drama,5.6
Andha Bichar,158,Action,6.8
Anjan Hai Koyee,143,Action,5.8
Anjaneya,178,Action,3.4
Ankahee,125,Drama,7.1
Ankur: The Seedling,121,Drama,8
Anmol Tasveer,67,Drama,7.9
Anokhi Ada,131,Drama,6.4
Anuranan,103,Drama,6.7
Armaan,120,Drama,6.8
Ashok Vatika,87,Drama,9.3
Asli Naqli,118,Drama,4.3
Autumn,86,Drama,6.4
Avtaar,140,Drama,7.2
Awara Badal,144,Action,5.1
Awasaan,91,Drama,8.7
Ayee Milan Ki Bela,136,Drama,6.4
Baabarr,190,Action,5.1
Baaghi,143,Action,5.2
Baaghi 3,153,Action,2.1
Baap Numbri Beta Dus Numbri,162,Action,6
Badlapur,144,Action,7.4
Bagh Bahadur,81,Drama,7.7
Bahar,160,Drama,5.7
Bal Bramhachari,173,Action,2.7
Banarasi Babu,131,Drama,6.7
Bansuri: The Flute,98,Drama,3.7
Barkhaa,117,Drama,5.1
Bas Ek Pal,140,Drama,5.9
Basant Bahar,140,Drama,7.1
Batla House,156,Action,7.2
Bawandar,115,Drama,7
Bazaar E Husn,115,Drama,4.8
Beehad - The Ravine,115,Drama,5.6
Beiimaan Love,110,Drama,2.8
Bemisal,132,Drama,7
Be-Reham,157,Action,6.8
Beta,161,Drama,6.3
Bhabhi Ki Chudiyan,158,Drama,5.4
Bhagawat Ek Jung,123,Action,4.6
Bhageeratha,168,Action,5.6
Bhagwaan Dada,137,Drama,4.3
Bhai Ho To Aisa,141,Action,5.7
Bharat,160,Action,4.9
Bharat Bhagya Vidhata,170,Action,5.7
Bhavani Junction,138,Action,5.8
Bhooka Sher,175,Action,4.8
Bhopal Express,90,Drama,7.1
Bijuka,64,Drama,6.4
Billoo Baadshah,158,Action,4.5
Biradari,129,Drama,5.9
Bitter Chestnut,90,Drama,7.1
Black Home,95,Drama,7.4
Blackboard vs Whiteboard,162,Action,5.4
Bombay Velvet,159,Action,5.6
Boxer,126,Drama,7.5
Boy Friend,127,Drama,7.6
Brothers,166,Action,6.5
Bulbbul,84,Drama,6.6
Bypass Road,127,Drama,5.4
Calcutta Mail,138,Action,5.7
Care of Footpath,100,Drama,7.2
Chakkar Pe Chakkar,148,Action,5.6
Chakravyuha,140,Action,6.4
Chanakya,157,Action,5.5
Chandrawal,99,Drama,8.3
Char Diwari,126,Drama,6.7
Charas,169,Action,6.5
Chauranga,78,Drama,6.5
Chennai Express,151,Action,6
Chetna,125,Drama,6.2
Chitkabrey,110,Drama,3.9
Chor Bazar,137,Action,6.1
Choron Ki Baaraat,145,Action,7.1
Clerk,175,Action,2.3
Club 60,127,Drama,7.3
Club Dancer,135,Action,6.9
Company,152,Action,7.9
Compulsed,145,Drama,7.1
Coolie No. 1,153,Action,6.6
Court Martial,110,Drama,6.8
D Company,101,Action,4.4
Daddy,144,Action,6.4
Dahej,139,Drama,6.3
Daku Ganga Jamuna,103,Action,3.9
Dariya Dil,136,Drama,5.1
Darpan,130,Drama,7.1
Dayar E Madina,127,Drama,7.2
Dear Molly,81,Drama,7.8
Delhi-6,131,Drama,6.1
Desamuduru,158,Action,6.2
Dhara,85,Drama,4.3
Dharma Karma,138,Action,5.8
Dhongee,132,Action,4.5
Dhoomketu,103,Drama,6.4
Dhruvanakshatram,157,Action,8.1
Dil Aur Deewaar,166,Action,5.5
Dil Ek Mandir,138,Drama,6.7
Dil Ke Pechey Pechey',100,Drama,4.9
Dil Ki Baazi,172,Action,5.3
Dil Pe Mat Le Yaar!!,138,Drama,5
Dil Se..,153,Drama,7.6
Dilwale,182,Action,5.7
Diwana,161,Drama,6.9
Do Aur Do Paanch,142,Action,7
Do Raaste,155,Drama,7
Do Ustad,149,Action,7.1
Dobaara,56,Drama,6.9
Doli,146,Drama,7.2
Doli Saja Ke Rakhna,160,Drama,6.4
Dongri Ka Raja,149,Action,3.9
Door Gagan Ki Chhaon Men,143,Drama,8.2
Door Ka Raahi,128,Drama,7.7
Dozakh in Search of Heaven,82,Drama,7
Drishti,161,Drama,7.1
Drive,157,Action,3.5
Dum Laga Ke Haisha,99,Drama,7.3
Duniya Na Mane,156,Drama,6.9
Durdesh,153,Action,6.2
Dus Kahaniyaan,100,Drama,5.7
Dushmun,167,Drama,7.1
Eeshwar,137,Drama,7.2
Ek Aasha,113,Drama,7.8
Ek Adhuri Kahani,105,Drama,7.7
Ek Baar Chale Aao,127,Drama,6.7
Ek Baar Phir (Once Again),137,Drama,6.3
Ek Saal,124,Drama,7.3
Ek Sainik - The Tale of a warrior,55,Action,8.2
Ek Sapera Ek Lutera,135,Action,4.9
Ek Tha Raja,160,Action,3.9
Eklavya: The Royal Guard,115,Action,6.1
Elaan,154,Action,6
Extraordinaari,134,Drama,3.4
Falak (The Sky),176,Action,6
Fanaa,178,Action,7.2
'Ferry',118,Drama,5.8
Filter Coffee Liquor Cha,70,Drama,6.9
Flame: An Untold Love Story,87,Drama,6
Four Faces of India,150,Drama,7.5
Four Pillars of Basement,144,Action,4.6
Frozen,99,Drama,7.1
Future to Bright Hai Ji,170,Drama,6.2
Game,156,Action,5.3
Gandhigiri,118,Drama,4.6
Gang,162,Action,6.1
Ganga Aur Suraj,147,Drama,6.4
Ganga Ki Saugand,152,Action,5.4
Ganga Meri Maa,135,Drama,5.7
Gangaa Jamunaa Saraswathi,197,Action,4.6
Gangaajal,167,Action,7.8
Gangster,133,Action,7.1
Gaon Hamara Shaher Tumhara,117,Drama,6.8
Gauri,142,Drama,6.5
Gemini,160,Action,6.1
Ghar,111,Drama,7
Ghar Ek Mandir,146,Drama,5.5
Ghar Mein Ram Gali Mein Shyam,126,Drama,4.7
Ghar Pe Bataao,62,Drama,7.6
Ghoonghat,130,Action,5.4
Go Goa Gone,121,Action,6.7
Godam,130,Drama,7.1
GRADE,54,Drama,6.1
Gudia,129,Drama,6.7
Gulaab Gang,149,Action,6.1
Gumnaam,141,Drama,7
Gumnaami,152,Action,7.8
Gumrah,145,Drama,6.9
Gunaah,127,Action,4.7
Gunga Jumna,188,Action,7.6
Gunjan Saxena: The Kargil Girl,122,Action,5.3
Guru,169,Action,6.7
Guru Sishyan,149,Action,7.1
Haan Maine Bhi Pyaar Kiya,164,Drama,3.7
Hafta Vasuli,150,Action,4.9
Hamaara Sansaar,118,Drama,6.7
Hamrahi,139,Drama,6.4
Hamrahi,111,Drama,6.7
Happy New Year,190,Action,5
Haqeeqat,176,Action,4.6
Har Kisse Ke Hisse: Kaamyaab,99,Drama,7.9
Harfan Maulaa,148,Action,5.5
Haseena Maan Jaayegi,157,Action,6.2
Hathyar: Face to Face with Reality,150,Action,5.6
Haunted - 3D,153,Action,6.3
Heer Ranjha,149,Drama,5.1
Hello Zindagi,115,Drama,6
Hey Ram Hamne Gandhi Ko maar Diya,96,Drama,6.3
Himmat,148,Action,4.5
Himmatwala,189,Action,4.5
Hogi Pyaar Ki Jeet,190,Action,4.3
Holi Ayee Re,134,Drama,5.9
Holiday: A Soldier is Never Off Duty,170,Action,7.2
House of Memories,120,Drama,7.3
Housefull 2,155,Action,5.3
Hukumat,140,Action,6.1
Hulchul,162,Action,4.6
Hulchul,159,Action,7
Hum Bhi Insaan Hain,159,Action,5.8
Hum Kisise Kum Naheen,179,Action,7.2
Hum Naujawan,127,Drama,5.3
Hum Paanch,173,Action,6.5
Hum Saath-Saath Hain: We Stand United,167,Drama,6.3
Hum Sab Chor Hain,153,Action,3.5
Hum To Chale Pardes,127,Drama,5.8
Hum Tumhare Hain Sanam,164,Drama,5.4
Humko Deewana Kar Gaye,145,Drama,5.2
Ikke Pe Ikka,144,Action,3.6
Ilaaka,171,Action,4.7
I'm in Love,150,Action,9.2
In Your Name,142,Action,7.1
Insaaf: The Final Justice,165,Action,4.2
Inspector Balram,153,Action,6.9
Intaquam,134,Drama,6.8
Inteha,165,Action,5.1
Inteqam: The Perfect Game,137,Action,5
Isi Ka Naam Zindagi,150,Action,5.7
Itihaas,164,Action,3.5
