Name,Duration,Genre,Rating
"#Gadhvi (He thought he was Gandhi)",99,Drama,7
"@Andheri",126,Action,4
"1:1.6 An Ode to Lost Love",86,Drama,6.2
"13B: Fear Has a New Address",136,Drama,7.3
"15th August",158,Drama,5.6
"16 December",168,Action,6.9
"18.11",136,Action,3.5
"19 Revolutions",84,Drama,4.5
"1920: Evil Returns",114,Drama,4.8
"1942: A Love Story",167,Action,7.2
"2 October",132,Action,5
"2.0",158,Action,6.2
"22 June 1897",111,Drama,7.7
"27 Down",105,Drama,6.9
"3 Storeys",90,Drama,6.9
"31st October",119,Action,5.8
"36 Chowringhee Lane",112,Drama,7.5
"377 AbNormal",83,Drama,5.6
"404: Error Not Found",111,Drama,7.3
"417 Miles",65,Drama,4.8
"498A-The Wedding Gift",103,Drama,7.8
"5 Rifles",144,Action,6.5
"68 Pages",82,Drama,6.2
"7 Saal Baad",117,Drama,4.1
"72 Hours: Martyr Who Never Died",140,Action,5.3
"8 x 10 Tasveer",132,Action,5.4
"9 O' Clock",134,Action,5.3
"A Billion Colour Story",95,Drama,8.1
"A Daughter's Tale PANKH",135,Drama,6.3
"A Death in the Gunj",100,Drama,7.5
"A Flat",93,Drama,4.5
"A Flying Jatt",161,Action,3
"A Gentleman",155,Action,6.2
"A Gift of Love: Sifar",85,Drama,8
"A Journey of Samyak Buddha",117,Drama,7.3
"A Sublime Love Story: Barsaat",133,Drama,3.8
"A Thin Line",94,Drama,7.9
"AA BB KK",111,Drama,8
"Aa Gale Lag Jaa",158,Action,7.2
"Aa Gaya Hero",133,Action,2.7
"Aa Jao Please",110,Drama,6.8
"Aadhaar",97,Drama,7.6
"Aadharshila",144,Drama,6.4
"Aadmi Aur Insaan",158,Drama,6.2
"Aadmi Khilona Hai",148,Drama,5
"Aadmi Sadak Ka",128,Drama,5.4
"Aag",149,Action,4.6
"Aag Ka Gola",190,Action,4.8
"Aag Ka Toofaan",147,Action,4.8
"Aaghaaz",163,Action,4.2
"Aaina",139,Drama,6
"Aaina",140,Drama,6.8
"Aaj",106,Drama,5.5
